-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
     triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0         0.79%       1.305ms         1.07%       1.764ms      19.173us     287.743us         0.21%     287.743us       3.128us            92  
                     nvjet_tst_64x96_64x10_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     277.629us         0.20%     277.629us       9.915us            28  
                                     triton_poi_fused_4         0.77%       1.266ms         1.04%       1.710ms      19.000us     258.143us         0.19%     258.143us       2.868us            90  
                     nvjet_tst_72x64_64x12_2x4_v_bz_TNN         0.00%       0.000us         0.00%       0.000us       0.000us     227.959us         0.17%     227.959us       8.141us            28  
                                           aten::argmax         0.22%     362.763us         0.34%     565.479us      24.586us     215.873us         0.16%     215.873us       9.386us            23  
                                            aten::copy_         0.41%     679.927us        27.42%      45.111ms     262.276us     206.216us         0.15%     210.535us       1.224us           172  
## Call CompiledFxGraph fuktuicwsejp4k6t4qe2idzzhy3w...         0.00%       0.000us         0.00%       0.000us       0.000us     182.878us         0.13%     182.878us     182.878us             1  
                                     triton_red_fused_3         0.52%     856.816us         0.77%       1.264ms      14.046us     161.149us         0.12%     161.149us       1.791us            90  
## Call CompiledFxGraph fat6rn27zp6ongtemvqlwjesef62...         0.00%       0.000us         0.00%       0.000us       0.000us     142.303us         0.10%     142.303us     142.303us             1  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     136.864us         0.10%     136.864us       8.554us            16  
## Call CompiledFxGraph fquo537ory4e67fyu2eclbijyeut...         0.00%       0.000us         0.00%       0.000us       0.000us     133.727us         0.10%     133.727us     133.727us             1  
                                         aten::_softmax         0.01%      20.966us         0.02%      35.828us      11.943us     113.343us         0.08%     113.343us      37.781us             3  
void at::native::(anonymous namespace)::cunn_SoftMax...         0.00%       0.000us         0.00%       0.000us       0.000us     113.343us         0.08%     113.343us      37.781us             3  
                                            aten::index         0.28%     460.871us         0.78%       1.286ms      35.711us      92.386us         0.07%     133.410us       3.706us            36  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us      88.088us         0.06%      88.088us       0.823us           107  
                                            aten::fill_         0.27%     445.652us         0.47%     773.922us       7.979us      82.144us         0.06%      82.144us       0.847us            97  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      65.888us         0.05%      65.888us       0.983us            67  
                                              aten::add         0.14%     231.657us         0.24%     388.760us       9.041us      59.232us         0.04%      59.232us       1.377us            43  
                                      merge_toks_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      58.368us         0.04%      58.368us       7.296us             8  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      57.793us         0.04%      57.793us       8.256us             7  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.00%       0.000us         0.00%       0.000us       0.000us      53.023us         0.04%      53.023us       2.651us            20  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      52.385us         0.04%      52.385us       1.218us            43  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      48.064us         0.04%      48.064us       1.550us            31  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      45.600us         0.03%      45.600us       3.800us            12  
                                     aten::masked_fill_         0.08%     134.067us         0.16%     256.833us       8.026us      43.614us         0.03%      43.614us       1.363us            32  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us      39.519us         0.03%      39.519us       1.976us            20  
                                             aten::add_         0.08%     137.649us         0.15%     254.719us       8.491us      32.129us         0.02%      32.129us       1.071us            30  
                         Memcpy HtoD (Pinned -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      30.116us         0.02%      30.116us       0.793us            38  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      29.823us         0.02%      29.823us       1.864us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      29.667us         0.02%      29.667us       1.290us            23  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      29.344us         0.02%      29.344us       2.934us            10  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      28.510us         0.02%      28.510us       1.426us            20  
                                     aten::floor_divide         0.05%      85.926us         0.11%     189.112us      11.820us      27.585us         0.02%      27.585us       1.724us            16  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      27.585us         0.02%      27.585us       1.724us            16  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      26.432us         0.02%      26.432us       1.322us            20  
                                        aten::remainder         0.07%     123.315us         0.11%     186.559us      11.660us      25.759us         0.02%      25.759us       1.610us            16  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      25.759us         0.02%      25.759us       1.610us            16  
                                              aten::mul         0.07%     118.822us         0.12%     203.467us      10.173us      25.473us         0.02%      25.473us       1.274us            20  
                                           aten::gather         0.07%     114.197us         0.12%     197.280us      15.175us      23.680us         0.02%      23.680us       1.822us            13  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      22.114us         0.02%      22.114us       1.382us            16  
void at::native::_scatter_gather_elementwise_kernel<...         0.00%       0.000us         0.00%       0.000us       0.000us      21.791us         0.02%      21.791us       1.816us            12  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      21.503us         0.02%      21.503us       1.344us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      20.545us         0.02%      20.545us       1.284us            16  
                                               aten::ge         0.07%     121.521us         0.12%     190.020us      11.876us      19.646us         0.01%      19.646us       1.228us            16  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.646us         0.01%      19.646us       1.228us            16  
                                       cuLaunchKernelEx         1.14%       1.877ms         1.14%       1.877ms       4.622us      19.616us         0.01%      19.616us       0.048us           406  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      19.265us         0.01%      19.265us       1.926us            10  
                                            aten::where         0.08%     134.379us         0.37%     604.440us      25.185us      17.503us         0.01%      47.294us       1.971us            24  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      17.503us         0.01%      17.503us       1.459us            12  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.936us         0.01%      15.936us       1.226us            13  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.649us         0.01%      15.649us       1.956us             8  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      15.104us         0.01%      15.104us       1.259us            12  
                                              aten::sub         0.08%     137.428us         0.13%     217.699us      13.606us      14.111us         0.01%      14.111us       0.882us            16  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      12.288us         0.01%      12.288us       1.024us            12  
void at::native::vectorized_gather_kernel<16, long>(...         0.00%       0.000us         0.00%       0.000us       0.000us      11.872us         0.01%      11.872us       1.979us             6  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      11.393us         0.01%      11.393us       0.760us            15  
                                           aten::cumsum         0.04%      69.374us         0.10%     167.269us      41.817us      10.688us         0.01%      16.096us       4.024us             4  
                                             aten::sub_         0.02%      40.418us         0.05%      77.002us       8.556us      10.656us         0.01%      10.656us       1.184us             9  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       9.887us         0.01%       9.887us       1.099us             9  
                    _vllm_fa3_C::get_scheduler_metadata         0.03%      54.189us         0.06%     106.275us      26.569us       9.280us         0.01%       9.280us       2.320us             4  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us       7.744us         0.01%       7.744us       1.549us             5  
void at_cuda_detail::cub::DeviceScanKernel<at_cuda_d...         0.00%       0.000us         0.00%       0.000us       0.000us       6.688us         0.00%       6.688us       1.672us             4  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 164.502ms
Self CUDA time total: 135.588ms

