-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::index         0.07%     193.602us         0.22%     593.882us      59.388us      35.584us         0.01%      54.015us       5.401us            10  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      35.584us         0.01%      35.584us       3.558us            10  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      22.816us         0.01%      22.816us       1.201us            19  
                         Memcpy DtoH (Device -> Pinned)         0.00%       0.000us         0.00%       0.000us       0.000us      22.112us         0.01%      22.112us       2.211us            10  
                    _vllm_fa3_C::get_scheduler_metadata         0.04%      99.455us         0.08%     229.179us      22.918us      19.712us         0.01%      19.712us       1.971us            10  
flash::prepare_varlen_num_blocks_kernel(int, int, in...         0.00%       0.000us         0.00%       0.000us       0.000us      19.712us         0.01%      19.712us       1.971us            10  
                                     triton_poi_fused_2         0.00%       0.000us         0.00%       0.000us       0.000us      18.816us         0.01%      18.816us       1.882us            10  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      18.431us         0.01%      18.431us       1.843us            10  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      14.848us         0.01%      14.848us       1.485us            10  
                                     triton_red_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      13.249us         0.01%      13.249us       1.325us            10  
                                              aten::sub         0.05%     145.284us         0.09%     246.822us      24.682us      10.560us         0.00%      10.560us       1.056us            10  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      10.560us         0.00%      10.560us       1.056us            10  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      10.047us         0.00%      10.047us       1.005us            10  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.01%      27.849us         0.02%      41.336us      41.336us       3.968us         0.00%       3.968us       3.968us             1  
                                     triton_poi_fused_2         0.01%      19.990us         0.01%      26.960us      26.960us       3.168us         0.00%       3.168us       3.168us             1  
                                     triton_red_fused_1         0.01%      13.509us         0.01%      19.456us      19.456us       1.952us         0.00%       1.952us       1.952us             1  
                 execute_context_1(183)_generation_0(0)         2.62%       7.061ms        15.79%      42.570ms      42.570ms       0.000us         0.00%      27.600ms      27.600ms             1  
                                Activity Buffer Request         0.51%       1.376ms         0.51%       1.376ms       1.376ms       0.000us         0.00%       0.000us       0.000us             1  
                                   cudaEventSynchronize        74.50%     200.887ms        77.95%     210.186ms       9.554ms       0.000us         0.00%       4.357ms     198.064us            22  
                                            aten::slice         0.25%     687.363us         0.34%     927.333us       1.977us       0.000us         0.00%       0.000us       0.000us           469  
                                       aten::as_strided         0.18%     490.043us         0.18%     490.043us       0.585us       0.000us         0.00%       0.000us       0.000us           838  
                                        cudaMemcpyAsync         0.23%     629.753us         0.23%     631.231us       7.014us       0.000us         0.00%       0.000us       0.000us            90  
                                       aten::lift_fresh         0.00%      10.780us         0.00%      10.780us       0.539us       0.000us         0.00%       0.000us       0.000us            20  
                                          aten::flatten         0.01%      20.171us         0.02%      42.103us       4.210us       0.000us         0.00%       0.000us       0.000us            10  
                                             aten::view         0.02%      45.455us         0.02%      45.455us       1.515us       0.000us         0.00%       0.000us       0.000us            30  
