-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     167.133us         0.51%     167.133us       1.393us           120  
                                       _vllm_fa3_C::fwd         0.05%     371.378us         0.10%     690.633us      86.329us     164.542us         0.50%     164.542us      20.568us             8  
void flash::prepare_varlen_num_blocks_kernel<1, fals...         0.00%       0.000us         0.00%       0.000us       0.000us     163.841us         0.50%     163.841us       2.341us            70  
                                              aten::add         0.11%     743.627us         0.18%       1.256ms       9.516us     149.049us         0.45%     149.049us       1.129us           132  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     149.049us         0.45%     149.049us       1.242us           120  
                                           aten::clamp_         0.09%     625.946us         0.16%       1.132ms       9.057us     143.680us         0.44%     143.680us       1.149us           125  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     143.680us         0.44%     143.680us       1.197us           120  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     141.406us         0.43%     141.406us       1.140us           124  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     139.749us         0.43%     139.749us       1.456us            96  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     128.087us         0.39%     128.087us       1.067us           120  
                              _causal_conv1d_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     121.438us         0.37%     121.438us       5.060us            24  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     119.168us         0.36%     119.168us       1.833us            65  
                     _fused_qk_rmsnorm_rope_gate_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     118.082us         0.36%     118.082us       2.952us            40  
                               triton_poi_fused_zeros_4         0.00%       0.000us         0.00%       0.000us       0.000us     116.760us         0.36%     116.760us       1.015us           115  
triton_red_fused__to_copy_abs_clamp_cutlass_scaled_m...         0.00%       0.000us         0.00%       0.000us       0.000us     113.338us         0.35%     113.338us       2.833us            40  
                                 aten::_index_put_impl_         0.07%     498.635us         0.24%       1.667ms      31.445us     110.400us         0.34%     217.756us       4.109us            53  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      99.424us         0.30%      99.424us       4.143us            24  
kernel_cutlass_kernel_flashinfergdn_kernelsdelta_rul...         0.00%       0.000us         0.00%       0.000us       0.000us      88.990us         0.27%      88.990us       3.708us            24  
                  _C_cache_ops::reshape_and_cache_flash         0.04%     254.556us         0.06%     440.519us      11.593us      88.158us         0.27%      88.158us       2.320us            38  
                                     aten::masked_fill_         0.03%     208.390us         0.05%     384.586us      16.024us      73.341us         0.22%      73.341us       3.056us            24  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      73.341us         0.22%      73.341us       3.056us            24  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us      68.703us         0.21%      68.703us      13.741us             5  
                  triton_red_fused_fused_add_rms_norm_2         0.00%       0.000us         0.00%       0.000us       0.000us      63.937us         0.20%      63.937us       2.131us            30  
                                            aten::fill_         0.14%     996.666us         0.27%       1.911ms       2.365us      61.083us         0.19%      62.075us       0.077us           808  
                  triton_red_fused_fused_add_rms_norm_0         0.00%       0.000us         0.00%       0.000us       0.000us      59.748us         0.18%      59.748us       1.992us            30  
                                     triton_per_fused_3         0.00%       0.000us         0.00%       0.000us       0.000us      59.611us         0.18%      59.611us       2.384us            25  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      53.787us         0.16%      53.787us       0.944us            57  
                                _fused_post_conv_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      49.183us         0.15%      49.183us       2.049us            24  
                     _compute_local_logits_stats_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      44.799us         0.14%      44.799us      11.200us             4  
                                  cudaStreamIsCapturing         0.03%     233.259us         0.03%     233.259us       0.286us      42.431us         0.13%      42.431us       0.052us           816  
                      triton_poi_fused_mul_silu_slice_1         0.00%       0.000us         0.00%       0.000us       0.000us      42.044us         0.13%      42.044us       1.401us            30  
         nvjet_sm90_tst_64x80_64x11_4x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      40.127us         0.12%      40.127us      40.127us             1  
                                              aten::exp         0.02%     167.263us         0.04%     272.441us      11.352us      37.375us         0.11%      37.375us       1.557us            24  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.375us         0.11%      37.375us       1.557us            24  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      35.075us         0.11%      35.075us       1.461us            24  
                                       _resample_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      33.728us         0.10%      33.728us       8.432us             4  
                                               aten::gt         0.02%     162.485us         0.04%     259.861us      10.828us      33.632us         0.10%      33.632us       1.401us            24  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      33.632us         0.10%      33.632us       1.401us            24  
void cutlass::device_kernel<flash::enable_sm90_or_la...         0.00%       0.000us         0.00%       0.000us       0.000us      33.409us         0.10%      33.409us       6.682us             5  
                                      aten::bitwise_not         0.05%     320.222us         0.06%     451.355us       3.761us      31.840us         0.10%      31.840us       0.265us           120  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us      31.840us         0.10%      31.840us       1.327us            24  
                                      _rejection_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      30.464us         0.09%      30.464us       7.616us             4  
