arm,concurrency,run,completed,output_throughput,median_tpot_ms,interactivity_tok_s_user,p99_tpot_ms,median_ttft_ms,spec_decode_acceptance_length,spec_decode_draft_tokens,spec_decode_num_drafts,result_path
adaptive_k6,64,1,160,4956.903315613792,10.394297638233763,96.20659661713552,13.934935793088604,102.12819976732135,2.123864226090475,682134,113689,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k6-BENCH--c64/run=1.json
adaptive_k6,64,2,160,4912.5569921954275,10.496449707430525,95.27030833026252,13.874414118634887,101.68444132432342,2.0919324577861165,690768,115128,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k6-BENCH--c64/run=2.json
adaptive_k6,128,0,256,6256.913889315284,15.79566202621905,63.308520930627076,21.089799658432256,199.75115498527884,2.172803686719023,1065012,177502,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k6-BENCH--c128/run=0.json
adaptive_k6,128,1,256,6177.349070039884,16.075634988224348,62.205940899536195,21.222302240937097,212.31731493026018,2.18409333859249,1049598,174933,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k6-BENCH--c128/run=1.json
adaptive_k6,128,2,256,6134.5607788690995,15.836132741903551,63.14673009490049,21.085151993993396,232.00381360948086,2.1707881333985553,1042590,173765,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k6-BENCH--c128/run=2.json
adaptive_k7,1,0,16,172.3092873455305,5.613259856635639,178.14960032856195,6.960339186213655,28.333628084510565,1.949423048104301,93422,13346,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c1/run=0.json
adaptive_k7,1,1,16,171.10769658137087,5.748731651287444,173.9514140960202,6.665102282359928,27.122311294078827,1.9327619329097088,94738,13534,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c1/run=1.json
adaptive_k7,1,2,16,174.4499236216292,5.565776738109132,179.66944185039864,6.498445429777606,27.251554187387228,1.968240606106987,91469,13067,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c1/run=2.json
adaptive_k7,8,0,48,1140.288986785858,6.492109590532995,154.03313607925418,8.151925997109625,48.54224342852831,1.9217705412982533,259672,37096,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c8/run=0.json
adaptive_k7,8,1,48,1135.8526211554502,6.106824594847349,163.75122364636982,8.191760746719767,45.17338238656521,1.95049613809406,254667,36381,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c8/run=1.json
adaptive_k7,8,2,48,1151.9245118366005,6.273588427329573,159.39840676250128,8.315463967243439,46.916781924664974,1.9301893305717093,263613,37659,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c8/run=2.json
adaptive_k7,16,0,64,1754.0802080770886,7.830558502006759,127.70481182711644,9.88284057599065,64.58426173776388,1.775095276079057,394905,56415,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c16/run=0.json
adaptive_k7,16,1,64,1822.4294911124532,7.93866196036129,125.96581199616791,9.9413808809079,64.82611782848835,1.7634870652911396,402367,57481,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c16/run=1.json
adaptive_k7,16,2,64,1779.8761921425307,7.871931875565893,127.03361967650572,9.840176610667596,64.10522805526853,1.775005799739458,392259,56037,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c16/run=2.json
adaptive_k7,32,0,96,2910.4310175772816,9.31904833487811,107.30709446557235,11.607387874723134,79.50855884701014,1.73824518714664,586866,83838,/home/tomasruizt/code/vllm-scripts/experiments/adaptive_k/results/qwen3_32b_fp8_tp2_complete/SERVE--adaptive_k7-BENCH--c32/run=0.json
